id_incidente,distrito,tipo_delito,hora,dia_semana,latitud,longitud,iluminacion,reportes_previos_zona,cerca_universidad,cerca_paradero,horario_estudiantil,victima_joven,nivel_riesgo
INC-0030,La Victoria,Hurto,9,Martes,-12.079143,-77.021755,Regular,5,1,1,1,1,Medio
INC-0031,Lince,Acoso en transporte,22,Miércoles,-12.08004,-77.029323,Deficiente,6,0,0,0,1,Medio
INC-0032,Rímac,Acoso en transporte,20,Domingo,-12.019803,-77.027825,Deficiente,3,1,1,1,1,Alto
INC-0033,Breña,Hurto,19,Jueves,-12.063091,-77.049611,Deficiente,4,0,1,1,0,Medio
INC-0034,Breña,Robo al paso,10,Lunes,-12.052249,-77.060852,Regular,6,1,1,0,1,Medio
INC-0035,Lince,Robo de laptop,8,Jueves,-12.089096,-77.029664,Buena,1,0,0,1,1,Bajo
INC-0036,Breña,Robo al paso,15,Sábado,-12.046269,-77.052216,Buena,1,0,0,0,1,Bajo
INC-0037,Cercado de Lima,Robo al paso,17,Jueves,-12.053587,-77.043412,Deficiente,4,0,1,1,0,Medio
INC-0038,Cercado de Lima,Robo al paso,18,Jueves,-12.055491,-77.034599,Regular,2,1,1,1,1,Medio
INC-0039,La Victoria,Robo al paso,15,Martes,-12.065179,-77.019721,Regular,2,1,1,0,1,Medio
INC-0040,Rímac,Robo de laptop,7,Jueves,-12.019761,-77.026467,Regular,2,1,1,1,1,Medio
INC-0041,Jesús María,Hurto,7,Martes,-12.076823,-77.054372,Deficiente,2,1,0,1,1,Bajo
INC-0042,Jesús María,Robo a vivienda,19,Martes,-12.070894,-77.055265,Deficiente,4,0,1,1,1,Medio
INC-0043,Cercado de Lima,Robo al paso,22,Lunes,-12.056369,-77.026097,Buena,2,1,0,0,0,Medio
INC-0044,Cercado de Lima,Hurto,17,Jueves,-12.06123,-77.047581,Regular,6,0,1,1,0,Medio
INC-0045,Rímac,Robo al paso,20,Martes,-12.031495,-77.026439,Regular,5,0,0,1,0,Medio
INC-0046,La Victoria,Robo al paso,23,Miércoles,-12.061046,-77.018026,Regular,4,1,1,0,1,Alto
INC-0047,Lince,Acoso en transporte,6,Viernes,-12.093802,-77.035971,Deficiente,5,0,1,0,1,Medio
INC-0048,Cercado de Lima,Hurto,20,Viernes,-12.043919,-77.031539,Buena,4,0,1,1,1,Medio
INC-0049,Breña,Robo de laptop,21,Viernes,-12.054245,-77.048999,Buena,7,1,1,0,1,Medio
INC-0050,Lince,Robo a vivienda,19,Jueves,-12.092429,-77.0372,Regular,1,0,0,1,1,Bajo
INC-0051,Lince,Robo de celular,17,Martes,-12.078886,-77.043153,Buena,6,1,0,1,0,Bajo
INC-0052,Cercado de Lima,Robo de celular,7,Domingo,-12.03096,-77.042445,Buena,4,0,1,1,0,Bajo
INC-0053,Cercado de Lima,Acoso en transporte,13,Miércoles,-12.039851,-77.049865,Buena,6,0,1,0,0,Medio
INC-0054,Cercado de Lima,Robo al paso,8,Viernes,-12.049547,-77.039864,Regular,2,1,1,1,0,Alto
INC-0055,La Victoria,Hurto,8,Lunes,-12.068257,-77.028619,Deficiente,4,0,1,1,1,Medio
INC-0056,La Victoria,Robo de celular,10,Domingo,-12.06967,-77.016205,Deficiente,4,0,1,0,0,Medio
INC-0057,Cercado de Lima,Robo al paso,21,Martes,-12.044315,-77.052578,Regular,3,0,1,0,0,Alto
INC-0058,Breña,Hurto,22,Martes,-12.059549,-77.04546,Regular,2,1,0,0,1,Bajo
INC-0059,Cercado de Lima,Robo de celular,10,Martes,-12.051703,-77.048496,Regular,3,0,1,0,1,Medio
INC-0060,La Victoria,Hurto,23,Viernes,-12.06661,-77.007975,Regular,5,1,0,0,1,Medio
INC-0061,Lince,Robo al paso,18,Jueves,-12.090257,-77.034119,Deficiente,5,1,1,1,1,Medio
INC-0062,Breña,Extorsión,8,Jueves,-12.065086,-77.043981,Deficiente,7,1,0,1,1,Medio
INC-0063,Cercado de Lima,Hurto,18,Miércoles,-12.04559,-77.034118,Regular,4,1,0,1,0,Medio
INC-0064,La Victoria,Extorsión,21,Domingo,-12.059061,-77.022701,Regular,8,0,0,0,1,Medio
INC-0065,Cercado de Lima,Robo al paso,5,Viernes,-12.053644,-77.036894,Deficiente,4,1,1,0,1,Alto
INC-0066,La Victoria,Robo al paso,7,Martes,-12.063068,-77.022337,Regular,5,0,1,1,0,Medio
INC-0067,Cercado de Lima,Acoso en transporte,8,Jueves,-12.055494,-77.047841,Deficiente,6,1,0,1,1,Alto
INC-0068,La Victoria,Robo al paso,21,Jueves,-12.069506,-77.017257,Deficiente,6,0,1,0,0,Alto
INC-0069,Breña,Robo a vivienda,22,Viernes,-12.055556,-77.044249,Deficiente,3,1,0,0,1,Medio
INC-0070,Rímac,Robo al paso,23,Sábado,-12.030254,-77.02968,Buena,7,1,1,0,0,Medio
INC-0071,La Victoria,Hurto,20,Martes,-12.065235,-77.020778,Regular,2,1,1,1,0,Alto
INC-0072,Rímac,Robo al paso,21,Lunes,-12.019507,-77.030095,Regular,5,1,1,0,1,Medio
INC-0073,Cercado de Lima,Hurto,20,Domingo,-12.053282,-77.03172,Regular,5,0,1,1,1,Medio
INC-0074,Rímac,Robo de celular,18,Martes,-12.026844,-77.026959,Deficiente,4,1,1,1,1,Medio
INC-0075,La Victoria,Robo al paso,6,Martes,-12.055594,-77.023045,Regular,4,0,0,0,0,Medio
INC-0076,Breña,Robo al paso,20,Sábado,-12.064402,-77.050586,Buena,5,0,0,1,1,Medio
INC-0077,Cercado de Lima,Robo de celular,7,Lunes,-12.050791,-77.032014,Deficiente,2,1,1,1,1,Medio
INC-0078,Lince,Robo al paso,19,Viernes,-12.08654,-77.032311,Deficiente,4,1,1,1,1,Alto
INC-0079,La Victoria,Acoso en transporte,6,Viernes,-12.069576,-77.018746,Regular,6,0,0,0,1,Medio
INC-0080,La Victoria,Robo a vivienda,23,Viernes,-12.077586,-77.02401,Regular,4,1,1,0,0,Alto
INC-0081,Lince,Robo de celular,9,Martes,-12.087824,-77.027541,Deficiente,3,0,1,1,1,Bajo
INC-0082,Rímac,Robo de laptop,10,Sábado,-12.02427,-77.046791,Regular,4,1,0,0,1,Bajo
INC-0083,Cercado de Lima,Amenazas,18,Miércoles,-12.054098,-77.044356,Buena,3,0,1,1,0,Bajo
INC-0084,La Victoria,Robo a vivienda,23,Jueves,-12.06822,-77.016322,Buena,1,0,1,0,1,Medio
INC-0085,Cercado de Lima,Robo de celular,21,Lunes,-12.058389,-77.041964,Deficiente,4,0,0,0,0,Medio
INC-0086,Cercado de Lima,Hurto,21,Lunes,-12.050143,-77.031316,Deficiente,7,1,0,0,0,Alto
INC-0087,Breña,Hurto,6,Viernes,-12.048813,-77.048484,Deficiente,3,1,1,0,0,Medio
INC-0088,Lince,Robo de celular,17,Viernes,-12.085316,-77.032193,Deficiente,4,0,0,1,1,Bajo
INC-0089,Breña,Robo de celular,17,Martes,-12.066539,-77.049282,Regular,6,0,0,1,1,Bajo
INC-0090,Breña,Robo de laptop,19,Viernes,-12.055031,-77.04518,Deficiente,0,0,0,1,1,Medio
INC-0091,Lince,Robo al paso,19,Jueves,-12.090584,-77.041623,Regular,5,0,0,1,1,Medio
INC-0092,Breña,Robo al paso,16,Viernes,-12.057637,-77.055923,Buena,4,1,1,0,1,Bajo
INC-0093,Rímac,Robo a vivienda,8,Miércoles,-12.036678,-77.037163,Deficiente,4,1,1,1,1,Medio
INC-0094,Cercado de Lima,Acoso en transporte,19,Martes,-12.039052,-77.03306,Regular,5,1,1,1,1,Alto
INC-0095,Breña,Hurto,22,Martes,-12.04883,-77.056905,Regular,2,1,0,0,1,Bajo
INC-0096,Lince,Hurto,17,Miércoles,-12.081534,-77.043658,Deficiente,4,1,1,1,1,Medio
INC-0097,Breña,Robo al paso,18,Viernes,-12.064023,-77.042416,Deficiente,3,1,1,1,1,Medio
INC-0098,Rímac,Robo de laptop,18,Lunes,-12.032065,-77.02753,Deficiente,3,0,0,1,1,Bajo
INC-0099,Lince,Robo de laptop,16,Jueves,-12.101817,-77.031382,Regular,5,0,1,0,0,Bajo
INC-0100,Rímac,Acoso en transporte,18,Lunes,-12.036027,-77.031818,Regular,7,1,1,1,1,Medio
INC-0101,La Victoria,Robo de celular,7,Lunes,-12.067522,-77.015553,Regular,3,1,0,1,1,Medio
INC-0102,Breña,Robo al paso,8,Viernes,-12.062732,-77.050676,Deficiente,3,0,0,1,1,Medio
INC-0103,Cercado de Lima,Hurto,8,Sábado,-12.046382,-77.052006,Regular,4,0,0,1,1,Medio
INC-0104,Rímac,Acoso en transporte,22,Lunes,-12.032359,-77.045246,Buena,3,0,0,0,1,Bajo
INC-0105,Jesús María,Acoso en transporte,19,Jueves,-12.074086,-77.042221,Buena,3,0,0,1,1,Bajo
INC-0106,La Victoria,Acoso en transporte,20,Domingo,-12.070414,-77.012361,Regular,3,1,1,1,1,Alto
INC-0107,Breña,Robo a vivienda,19,Jueves,-12.05759,-77.04754,Regular,2,1,0,1,1,Medio
INC-0108,Cercado de Lima,Extorsión,19,Miércoles,-12.052286,-77.050768,Deficiente,3,1,1,1,1,Alto
INC-0109,Cercado de Lima,Robo al paso,22,Viernes,-12.050941,-77.050316,Buena,4,1,1,0,1,Alto
INC-0110,Jesús María,Hurto,17,Viernes,-12.07067,-77.042965,Buena,4,0,1,1,0,Bajo
INC-0111,Cercado de Lima,Robo al paso,8,Martes,-12.041506,-77.040975,Deficiente,8,0,1,1,0,Alto
INC-0112,Cercado de Lima,Robo al paso,8,Viernes,-12.049572,-77.039282,Regular,6,1,1,1,1,Alto
INC-0113,Rímac,Robo al paso,18,Sábado,-12.034003,-77.028136,Deficiente,4,0,1,1,1,Medio
INC-0114,Rímac,Robo al paso,18,Miércoles,-12.034225,-77.032325,Regular,8,1,0,1,1,Medio
INC-0115,La Victoria,Acoso en transporte,7,Viernes,-12.051051,-77.017841,Regular,7,0,0,1,0,Medio
INC-0116,Breña,Acoso en transporte,17,Miércoles,-12.061191,-77.055616,Regular,2,1,1,1,0,Medio
INC-0117,Breña,Robo de celular,20,Miércoles,-12.05703,-77.052533,Regular,3,0,0,1,0,Bajo
INC-0118,Cercado de Lima,Robo de laptop,9,Domingo,-12.049196,-77.052368,Deficiente,5,0,1,1,1,Medio
INC-0119,La Victoria,Hurto,21,Lunes,-12.072987,-77.014004,Deficiente,1,0,0,0,1,Medio
INC-0120,Lince,Robo al paso,9,Viernes,-12.079944,-77.038027,Buena,1,0,1,1,1,Bajo
INC-0121,La Victoria,Robo de celular,18,Jueves,-12.065876,-77.027975,Deficiente,5,1,1,1,1,Medio
INC-0122,Cercado de Lima,Robo al paso,7,Martes,-12.045197,-77.035908,Regular,3,1,1,1,1,Medio
INC-0123,La Victoria,Robo de celular,7,Miércoles,-12.05434,-77.014885,Buena,3,1,0,1,1,Bajo
INC-0124,Cercado de Lima,Robo de celular,23,Jueves,-12.044462,-77.044314,Deficiente,5,0,1,0,0,Alto
INC-0125,La Victoria,Robo de laptop,9,Miércoles,-12.063367,-77.01792,Buena,7,1,1,1,1,Medio
INC-0126,Rímac,Robo a vivienda,5,Domingo,-12.030909,-77.032122,Buena,5,1,1,0,1,Bajo
INC-0127,Jesús María,Robo de celular,23,Martes,-12.065306,-77.050523,Buena,0,1,1,0,0,Bajo
INC-0128,Lince,Robo al paso,22,Martes,-12.087274,-77.034575,Regular,5,0,1,0,1,Medio
INC-0129,Cercado de Lima,Hurto,20,Lunes,-12.048601,-77.046776,Deficiente,7,1,0,1,1,Alto
INC-0130,Cercado de Lima,Robo al paso,16,Martes,-12.049455,-77.038135,Regular,4,0,1,0,0,Medio
INC-0131,Lince,Acoso en transporte,18,Sábado,-12.083895,-77.032365,Buena,6,0,0,1,0,Bajo
INC-0132,Lince,Robo al paso,23,Martes,-12.087724,-77.034498,Deficiente,0,1,1,0,1,Medio
INC-0133,Rímac,Robo al paso,21,Jueves,-12.032775,-77.031041,Buena,4,1,0,0,0,Bajo
INC-0134,Rímac,Hurto,17,Sábado,-12.024494,-77.033596,Buena,4,1,1,1,1,Bajo
INC-0135,Cercado de Lima,Robo a vivienda,22,Miércoles,-12.030275,-77.046724,Deficiente,7,0,0,0,1,Alto
INC-0136,La Victoria,Hurto,17,Jueves,-12.066138,-77.00843,Regular,1,0,1,1,1,Medio
INC-0137,Cercado de Lima,Robo al paso,20,Martes,-12.058807,-77.051828,Buena,1,0,0,1,1,Medio
INC-0138,Cercado de Lima,Robo de celular,22,Jueves,-12.057651,-77.04211,Deficiente,3,0,1,0,0,Alto
INC-0139,La Victoria,Hurto,20,Miércoles,-12.070317,-77.029419,Deficiente,6,1,0,1,1,Alto
INC-0140,Cercado de Lima,Hurto,17,Lunes,-12.051394,-77.056055,Regular,3,0,0,1,0,Bajo
INC-0141,Breña,Hurto,18,Viernes,-12.058487,-77.04906,Deficiente,3,0,0,1,1,Bajo
INC-0142,La Victoria,Robo al paso,19,Jueves,-12.078156,-77.014204,Deficiente,6,1,1,1,1,Alto
INC-0143,Rímac,Robo a vivienda,17,Jueves,-12.033059,-77.021874,Deficiente,4,1,0,1,1,Bajo
INC-0144,Cercado de Lima,Hurto,17,Miércoles,-12.047304,-77.047083,Regular,5,1,0,1,1,Medio
INC-0145,Cercado de Lima,Robo de laptop,20,Lunes,-12.047058,-77.049389,Buena,4,1,0,1,1,Medio
INC-0146,Breña,Acoso en transporte,20,Martes,-12.059244,-77.047614,Regular,3,0,1,1,0,Medio
INC-0147,La Victoria,Robo al paso,6,Domingo,-12.07159,-77.030476,Regular,4,1,1,0,1,Medio
INC-0148,La Victoria,Hurto,9,Miércoles,-12.066581,-77.022006,Regular,6,1,0,1,1,Medio
INC-0149,Cercado de Lima,Robo a vivienda,20,Domingo,-12.053436,-77.036044,Regular,3,0,1,1,1,Medio
INC-0150,La Victoria,Robo a vivienda,20,Miércoles,-12.063273,-77.014729,Regular,3,0,1,1,0,Medio
INC-0151,Cercado de Lima,Robo a vivienda,22,Domingo,-12.045246,-77.042912,Regular,4,1,0,0,1,Medio
INC-0152,Jesús María,Robo al paso,20,Viernes,-12.077114,-77.04426,Buena,8,1,0,1,1,Medio
INC-0153,Cercado de Lima,Robo de celular,18,Lunes,-12.049691,-77.054162,Buena,3,0,1,1,1,Bajo
INC-0154,Cercado de Lima,Robo al paso,21,Domingo,-12.041423,-77.043963,Regular,5,1,0,0,0,Medio
INC-0155,La Victoria,Robo de celular,17,Viernes,-12.065265,-77.013757,Deficiente,5,0,0,1,1,Medio
INC-0156,Breña,Robo al paso,19,Miércoles,-12.058599,-77.050356,Buena,2,1,0,1,1,Medio
INC-0157,Rímac,Robo de celular,5,Sábado,-12.033816,-77.023535,Deficiente,4,1,1,0,1,Medio
INC-0158,Breña,Hurto,7,Martes,-12.052808,-77.042883,Deficiente,4,1,1,1,1,Medio
INC-0159,La Victoria,Extorsión,15,Martes,-12.080177,-77.027027,Buena,6,1,0,0,1,Bajo
INC-0160,Breña,Robo al paso,5,Viernes,-12.063818,-77.043547,Regular,4,0,0,0,1,Medio
INC-0161,La Victoria,Robo al paso,20,Jueves,-12.072366,-77.013926,Regular,0,0,1,1,1,Alto
INC-0162,Breña,Robo de celular,16,Viernes,-12.055969,-77.050182,Buena,0,1,1,0,1,Bajo
INC-0163,Cercado de Lima,Robo al paso,8,Miércoles,-12.037106,-77.036868,Deficiente,2,1,1,1,1,Alto
INC-0164,La Victoria,Robo al paso,5,Martes,-12.06702,-77.028459,Deficiente,6,1,0,0,1,Alto
INC-0165,Cercado de Lima,Robo al paso,9,Jueves,-12.043054,-77.040846,Regular,5,0,1,1,0,Medio
INC-0166,Cercado de Lima,Robo al paso,7,Viernes,-12.052934,-77.043735,Deficiente,4,0,1,1,1,Alto
INC-0167,La Victoria,Robo de celular,7,Martes,-12.073793,-77.021175,Deficiente,7,1,0,1,1,Medio
INC-0168,Jesús María,Robo al paso,22,Sábado,-12.071345,-77.049285,Deficiente,3,1,1,0,1,Alto
INC-0169,La Victoria,Acoso en transporte,19,Martes,-12.067645,-77.026102,Regular,4,0,1,1,1,Alto
INC-0170,Cercado de Lima,Robo de celular,22,Domingo,-12.054465,-77.05242,Deficiente,7,1,0,0,1,Alto
INC-0171,Lince,Robo al paso,17,Domingo,-12.084782,-77.045641,Regular,7,1,1,1,1,Medio
INC-0172,Cercado de Lima,Hurto,10,Miércoles,-12.048597,-77.040137,Buena,3,1,1,0,1,Bajo
INC-0173,Breña,Acoso en transporte,17,Miércoles,-12.056682,-77.046159,Buena,4,0,1,1,0,Bajo
INC-0174,Cercado de Lima,Hurto,15,Sábado,-12.056755,-77.046865,Regular,8,1,1,0,1,Medio
INC-0175,La Victoria,Hurto,8,Domingo,-12.05799,-77.028131,Deficiente,4,1,1,1,1,Medio
INC-0176,Breña,Robo de celular,22,Viernes,-12.054604,-77.04777,Buena,3,1,1,0,0,Medio
INC-0177,Rímac,Robo de laptop,16,Martes,-12.029349,-77.025527,Regular,2,1,1,0,1,Bajo
INC-0178,Cercado de Lima,Hurto,22,Jueves,-12.035485,-77.04256,Deficiente,4,1,0,0,1,Medio
INC-0179,Cercado de Lima,Robo a vivienda,19,Viernes,-12.041767,-77.035528,Deficiente,0,1,0,1,1,Alto
INC-0180,Cercado de Lima,Robo al paso,18,Viernes,-12.039094,-77.048011,Regular,2,0,1,1,1,Medio
INC-0181,Cercado de Lima,Robo de celular,23,Viernes,-12.03952,-77.044959,Deficiente,2,0,1,0,1,Alto
INC-0182,La Victoria,Robo al paso,18,Lunes,-12.057318,-77.02228,Deficiente,3,0,1,1,1,Medio
INC-0183,Cercado de Lima,Hurto,19,Lunes,-12.045339,-77.0433,Buena,4,1,0,1,1,Medio
INC-0184,Breña,Hurto,18,Martes,-12.052494,-77.048671,Deficiente,1,1,1,1,0,Medio
INC-0185,Cercado de Lima,Robo de laptop,19,Lunes,-12.036228,-77.051987,Regular,6,0,1,1,1,Alto
INC-0186,Rímac,Extorsión,19,Martes,-12.018835,-77.032655,Buena,5,0,1,1,0,Bajo
INC-0187,Cercado de Lima,Robo al paso,6,Lunes,-12.051391,-77.03257,Regular,7,0,1,0,0,Medio
INC-0188,Rímac,Robo de laptop,7,Miércoles,-12.027977,-77.025101,Regular,6,0,1,1,1,Medio
INC-0189,La Victoria,Hurto,20,Lunes,-12.077041,-77.018448,Buena,4,1,0,1,1,Medio
INC-0190,Cercado de Lima,Robo al paso,5,Viernes,-12.045586,-77.041811,Regular,2,0,1,0,0,Alto
INC-0191,La Victoria,Robo de celular,19,Sábado,-12.060367,-77.019353,Regular,4,1,1,1,1,Alto
INC-0192,Rímac,Hurto,21,Sábado,-12.031236,-77.020155,Regular,3,0,0,0,1,Medio
INC-0193,Cercado de Lima,Hurto,18,Lunes,-12.04607,-77.044486,Regular,2,1,0,1,1,Medio
INC-0194,La Victoria,Robo al paso,8,Domingo,-12.060272,-77.006069,Regular,5,0,1,1,0,Medio
INC-0195,La Victoria,Robo al paso,20,Lunes,-12.071137,-77.024575,Regular,4,1,0,1,1,Alto
INC-0196,La Victoria,Hurto,22,Martes,-12.058933,-77.017808,Deficiente,5,1,1,0,1,Alto
INC-0197,Cercado de Lima,Robo de celular,20,Lunes,-12.046052,-77.044454,Regular,3,0,1,1,1,Medio
INC-0198,Jesús María,Robo de laptop,20,Martes,-12.081426,-77.058225,Buena,5,0,1,1,1,Medio
INC-0199,Cercado de Lima,Acoso en transporte,19,Viernes,-12.045908,-77.03442,Deficiente,5,0,0,1,0,Alto
INC-0200,Rímac,Robo a vivienda,21,Jueves,-12.024195,-77.027836,Regular,4,0,0,0,1,Bajo
INC-0201,Cercado de Lima,Robo de celular,18,Lunes,-12.046214,-77.048247,Deficiente,6,0,0,1,1,Medio
INC-0202,Breña,Robo al paso,21,Martes,-12.052333,-77.047077,Deficiente,2,1,0,0,1,Medio
INC-0203,Cercado de Lima,Robo al paso,7,Jueves,-12.043451,-77.042228,Regular,9,0,1,1,1,Medio
INC-0204,Rímac,Acoso en transporte,20,Domingo,-12.035,-77.031164,Buena,5,0,1,1,1,Medio
INC-0205,Rímac,Robo al paso,23,Viernes,-12.01678,-77.028204,Regular,6,1,1,0,1,Alto
INC-0206,La Victoria,Robo al paso,23,Domingo,-12.059689,-77.015304,Deficiente,2,1,1,0,1,Alto
INC-0207,Jesús María,Robo al paso,20,Viernes,-12.067434,-77.053855,Regular,6,0,1,1,0,Alto
INC-0208,Breña,Robo a vivienda,20,Domingo,-12.064482,-77.031928,Regular,4,1,0,1,1,Medio
INC-0209,Cercado de Lima,Robo de celular,9,Sábado,-12.044832,-77.049584,Deficiente,6,1,1,1,0,Alto
INC-0210,La Victoria,Robo a vivienda,8,Miércoles,-12.064342,-77.016749,Deficiente,2,0,0,1,1,Medio
INC-0211,Cercado de Lima,Robo al paso,5,Viernes,-12.049177,-77.050019,Buena,2,1,0,0,1,Medio
INC-0212,Rímac,Robo al paso,16,Sábado,-12.040409,-77.030601,Regular,4,1,0,0,1,Bajo
INC-0213,Cercado de Lima,Robo de celular,16,Viernes,-12.060332,-77.031805,Deficiente,7,0,1,0,0,Alto
INC-0214,La Victoria,Robo a vivienda,19,Sábado,-12.076623,-77.024147,Regular,3,0,1,1,0,Alto
INC-0215,La Victoria,Hurto,4,Viernes,-12.061217,-77.017299,Buena,2,1,0,0,0,Medio
INC-0216,Jesús María,Robo de laptop,6,Miércoles,-12.077094,-77.042229,Buena,5,0,1,0,1,Bajo
INC-0217,Cercado de Lima,Robo al paso,22,Viernes,-12.039026,-77.043651,Regular,3,0,0,0,1,Alto
INC-0218,Lince,Robo de celular,16,Viernes,-12.089168,-77.043684,Regular,6,0,0,0,0,Bajo
INC-0219,Breña,Extorsión,17,Lunes,-12.058589,-77.062805,Deficiente,1,0,0,1,1,Bajo
INC-0220,Rímac,Robo al paso,23,Martes,-12.031397,-77.03648,Deficiente,4,1,1,0,0,Medio
INC-0221,La Victoria,Robo al paso,8,Viernes,-12.058625,-77.022816,Buena,7,1,1,1,1,Alto
INC-0222,Cercado de Lima,Robo al paso,18,Lunes,-12.040452,-77.03657,Regular,3,0,0,1,1,Medio
INC-0223,Rímac,Extorsión,8,Lunes,-12.030043,-77.036272,Deficiente,4,1,1,1,1,Medio
INC-0224,Lince,Acoso en transporte,21,Lunes,-12.094593,-77.025916,Regular,6,0,0,0,1,Medio
INC-0225,Rímac,Robo al paso,17,Jueves,-12.02728,-77.025018,Regular,2,1,0,1,1,Bajo
INC-0226,Breña,Extorsión,17,Jueves,-12.054205,-77.048568,Regular,1,1,1,1,1,Bajo
INC-0227,La Victoria,Robo de celular,8,Viernes,-12.070477,-77.018168,Regular,1,1,0,1,0,Medio
INC-0228,Rímac,Amenazas,7,Domingo,-12.040347,-77.034862,Buena,2,0,1,1,1,Bajo
INC-0229,La Victoria,Robo de celular,20,Miércoles,-12.058445,-77.011679,Regular,1,0,1,1,0,Medio
INC-0230,Cercado de Lima,Robo de celular,19,Sábado,-12.051153,-77.056218,Regular,5,0,1,1,1,Alto
INC-0231,Breña,Amenazas,17,Miércoles,-12.057577,-77.0487,Deficiente,2,1,1,1,0,Medio
INC-0232,Rímac,Hurto,16,Martes,-12.030631,-77.034403,Regular,3,0,0,0,0,Bajo
INC-0233,Cercado de Lima,Robo de celular,8,Martes,-12.040291,-77.03227,Deficiente,8,1,1,1,1,Alto
INC-0234,Rímac,Robo al paso,21,Jueves,-12.030293,-77.022712,Regular,5,1,0,0,1,Medio
INC-0235,Cercado de Lima,Robo al paso,20,Viernes,-12.043882,-77.034952,Deficiente,5,1,1,1,1,Alto
INC-0236,Cercado de Lima,Extorsión,6,Viernes,-12.05069,-77.048971,Regular,2,0,1,0,0,Medio
INC-0237,Cercado de Lima,Robo de celular,6,Martes,-12.044334,-77.039853,Deficiente,2,1,0,0,1,Medio
INC-0238,Breña,Robo al paso,20,Martes,-12.058019,-77.053323,Regular,6,0,0,1,1,Medio
INC-0239,Rímac,Acoso en transporte,8,Domingo,-12.032192,-77.030364,Regular,2,1,0,1,1,Bajo
INC-0240,La Victoria,Robo de celular,16,Jueves,-12.064887,-77.025716,Deficiente,2,0,0,0,1,Medio
INC-0241,Breña,Robo al paso,10,Martes,-12.063757,-77.058203,Deficiente,4,1,1,0,1,Medio
